Id,Date,Transaction
0,7/15,+60.5
1,7/28,-10.3
2,8/2,-20.46
3,8/13,+10.0
4,8/25,+15.75
5,9/5,-5.0
6,9/20,+30.0
7,10/1,-12.5
8,10/12,+45.0
9,10/25,-8.75
10,11/3,+22.0
11,11/15,-6.25
12,11/22,+13.5
13,12/1,-9.0
14,12/10,+60.0
15,12/20,-15.0
16,12/28,+8.5
17,1/5,-11.0
18,1/15,+40.0
19,2/2,-7.0
20,2/10,+22.5
21,3/1,-4.0
22,3/14,+18.0
23,4/1,-12.5
24,4/10,+30.0
25,5/1,-5.75
26,5/15,+25.0
27,6/1,-8.0
28,6/20,+50.0
29,7/1,-3.5
30,7/15,+15.0
31,8/1,-10.0
32,8/15,+12.5
33,9/1,-6.0
34,9/15,+40.0
35,10/1,-5.0
36,10/15,+25.0
37,11/1,-15.0
38,11/15,+30.0
39,12/1,-10.0
40,12/15,+45.0
