Id,Date,Transaction
41,1/10,+55.0
42,1/20,-7.5
43,2/5,+12.0
44,2/15,-25.0
45,3/1,+30.0
46,3/10,-9.5
47,4/5,+45.0
48,4/15,-12.0
49,5/1,+60.0
50,5/15,-5.0
51,6/1,+20.0
52,6/15,-15.0
53,7/1,+50.0
54,7/15,-8.0
55,8/1,+35.0
56,8/15,-10.0
57,9/1,+40.0
58,9/15,-20.0
59,10/1,+25.0
60,10/15,-6.0
61,11/1,+15.0
62,11/15,-12.5
63,12/1,+70.0
64,12/15,-8.0
65,1/5,+18.0
66,1/20,-4.5
67,2/1,+28.0
68,2/15,-11.0
69,3/1,+23.0
70,3/15,-14.0
71,4/1,+12.0
72,4/15,-7.0
73,5/1,+55.0
74,5/15,-9.0
75,6/1,+30.0
76,6/15,-13.0
77,7/1,+45.0
78,7/15,-10.0
79,8/1,+28.0
80,8/15,-12.0
81,9/1,+34.0
82,9/15,-18.0
83,10/1,+50.0
84,10/15,-7.5
85,11/1,+16.0
86,11/15,-11.0
87,12/1,+65.0
88,12/15,-9.0
89,1/10,+22.0
90,1/25,-14.0
91,2/10,+35.0
92,2/20,-9.5
93,3/10,+18.0
94,3/25,-12.0
95,4/10,+27.0
96,4/20,-6.0
97,5/10,+43.0
98,5/25,-11.0
99,6/10,+32.0
100,6/25,-7.0
101,7/10,+50.0
102,7/25,-13.0
103,8/10,+29.0
104,8/25,-15.0
105,9/10,+40.0
106,9/25,-10.0
107,10/10,+52.0
108,10/25,-8.0
109,11/10,+25.0
110,11/25,-12.5
111,12/10,+48.0
112,12/25,-9.0
113,1/5,+30.0
114,1/20,-6.5
115,2/5,+26.0
116,2/20,-14.0
117,3/5,+40.0
118,3/20,-10.0
119,4/5,+55.0
120,4/20,-7.0
121,5/5,+45.0
122,5/20,-11.5
123,6/5,+28.0
124,6/20,-13.0
125,7/5,+33.0
126,7/20,-12.0
127,8/5,+39.0
128,8/20,-10.0
129,9/5,+22.0
130,9/20,-7.5
131,10/5,+47.0
132,10/20,-9.0
133,11/5,+54.0
134,11/20,-15.0
135,12/5,+62.0
136,12/20,-11.0
